,ps,note_start,note_end,velocity
164,74,268.378378378378,268.783783783784,71
168,64,268.783783783784,269.797297297297,65
167,72,268.783783783784,269.797297297297,65
171,55,268.783783783784,269.189189189189,58
174,62,269.391891891892,269.797297297297,66
175,60,269.797297297297,270.000000000000,65
177,86,270.405405405405,270.810810810811,54
178,91,270.405405405405,270.810810810811,54
176,67,270.405405405405,273.243243243243,63
179,88,270.810810810811,271.013513513514,55
180,84,270.810810810811,271.013513513514,55
181,86,271.418918918919,271.959459459459,59
182,79,271.418918918919,271.959459459459,59
183,84,271.891891891892,273.108108108108,48
184,76,271.891891891892,273.108108108108,48
185,74,272.432432432432,273.040540540541,48
186,72,273.040540540541,273.310810810811,38
187,91,273.783783783784,274.594594594595,57
190,70,273.851351351351,274.054054054054,56
191,74,274.054054054054,274.256756756757,52
193,79,274.256756756757,274.459459459459,51
192,76,274.256756756757,274.459459459459,51
194,88,274.459459459459,275.067567567568,53
188,86,275.067567567568,275.472972972973,48
195,70,275.472972972973,275.675675675676,54
189,84,275.472972972973,276.081081081081,60
196,73,275.675675675676,275.945945945946,54
197,76,275.945945945946,276.216216216216,54
198,81,276.216216216216,276.486486486486,65
206,86,276.216216216216,276.824324324324,63
199,82,276.891891891892,277.094594594595,59
200,38,277.500000000000,278.040540540541,56
201,81,277.500000000000,278.040540540541,56
202,76,277.500000000000,278.040540540541,56
209,74,277.905405405405,278.310810810811,62
208,45,277.905405405405,278.310810810811,62
207,78,277.905405405405,278.310810810811,62
204,71,278.513513513514,278.716216216216,66
203,54,278.513513513514,278.716216216216,66
205,76,278.513513513514,278.716216216216,66
217,64,279.121621621622,279.729729729730,68
218,74,279.121621621622,279.729729729730,68
216,59,279.121621621622,279.729729729730,68
210,69,279.121621621622,279.324324324324,67
211,76,279.527027027027,279.932432432432,70
212,78,280.135135135135,280.540540540541,66
214,81,280.540540540541,280.945945945946,58
219,35,280.540540540541,280.743243243243,73
213,76,280.540540540541,280.945945945946,58
215,54,281.148648648649,281.689189189189,75
220,74,281.148648648649,281.418918918919,72
221,78,281.148648648649,281.418918918919,72
224,61,281.621621621622,282.162162162162,64
222,71,281.621621621622,281.891891891892,70
